Tweet ID,Tweet
7.92E+17,@Holdup_ImMikey lmao forgot you a boojie hood nigga but it's different ways to handle it didn't have to kick the bitch
7.70E+17,@NVervynck you gave me them boojie ass balls
7.27E+17,@Forbes Hahahaha middle aged rednecks crying to Trumpet vise versa. F250 PUs and beer and ammo ate up your $. No Chinaman took it LMFAO !!!
7.51E+17,@ForEverRiah @yafavvwhitegirl lol so you saying I look like a damn hillbilly bumpkin 😂😂😂😡🤔🤔🤔
7.51E+17,"@NBCSN you suck, I hope Bernie terminates your F1 contract. Bullshit hillbilly ""racing"""
7.53E+17,@MLTneeRhodette ur still ugly hillbilly
7.57E+17,@HillaryClinton desperate people say desperate things... See ya Hillbilly!!!!  You witch!!!
7.59E+17,@FBHWJustin if you were a real hillbilly you'd spit in his face.
6.85E+17,"@LTC_Hunter If there are trying to ""take your guns"" why havent they taken them yet?Gun sales are through the roof.Use Logic u dumb hillbilly"
6.86E+17,"@albertasoapbox I know your ignorant hillbilly friends don't read much, but I'll try help anyway... https://t.co/Xa9YnuGXW7 #abpoli #cdnpoli"
6.89E+17,@RandPaul hell no kiddies tables for u fing hillbilly
6.89E+17,@PapiRoast1998 @DiceDesigns_ @MrRogueX are you running out of insults? You just used hillbilly lmao
7.94E+17,@NeilTurner_ shut your hillbilly ass up
7.94E+17,"@donaldtisgod get a life, have a scrub or maybe even a penis enlargement will help your case you hillbilly cunt."
8.00E+17,@Mastradomus @bitch YOU THE BITCH BITCH SHUT YO UGLY REDNECK HILLBILLY ASS UP YOU THE BITCH BITCH
8.00E+17,@RapinBill @LaurenSchacher @HamiltonMusical hopefully he gets cancer you hillbilly
7.06E+17,"@turnageb ""Look you goddamn hillbilly, I don't care who you fuck the next 4 years, but you will do it in Albania!"""
7.10E+17,@KingConBoy fuck off you inbred hillbilly
7.14E+17,"@ImranGarda ""Hear me talkin', hillbilly boy?! I ain't through with you by a damn sight. I'm gonna get medieval on your arse."""
6.95E+17,@iank12 go fuck yourself you inbred hillbilly POS
6.98E+17,"@PichuGirl121 

Yea don't talk to yrslf like that is a fucken shame to ur hillbilly family... go fuck ur brother and the horse u rode in on"
8.39E+17,@Trueblue1872 @Alyssa_Milano all these poor hillbilly boys you are disappointing Alyssa!  ROFLMAO!!
8.47E+17,"@Wolfiemann Nah, your hillbilly mentality is just boring. Run along and hump on your sister, or cousin, or both! HAHAHAHAHAHA! #backwards"
7.38E+17,@LighthouseDMS why would you hit a nerve when I know your some sad hillbilly 😂 no worse than you. So ugly you don't have a profile pic. 🐄🐃🐀
7.45E+17,"@nightlyshow @AndyHolt4TN Andy's parents are brother &amp; sister so you have to excuse his low IQ, hillbilly manners, bad genes, and stupidity"
7.47E+17,"@KenCarman I love you man, you fill every hillbilly stereotype. Myrtle Beach when you're an adult?  Suck it up and go to Hilton Head bro"
7.81E+17,@sxpboyjay listen you hillbilly i smack the man outta you. so don't come over here saying that shit again.
8.32E+17,"@realDonaldTrump HAVE TO MOVE TO RUSSIA,B/C YOU WON'T BEABLE TO LIVE IN ""USA"" POOR HILLBILLY'S WON'T WANT YOU! YOU'RE A COWARD W/O A COUNTRY"
7.32E+17,@whorechachata @NOTACOOLKlD aww you damn hillbilly 😂😂
7.32E+17,"@wilfork75 @JJWatt Vince, your hillbilly overalls were the bomb!"
7.34E+17,"@cvpayne 
A) Thank God for Spell CK. B) Have Fun. ( If your a Hillbilly like myself, Screw Grammar &amp; let the Word Flow &amp; be Yourself."
7.16E+17,"@AllyDub Not to impressed with his gay slurs, WTF hillbilly cactus, you need a slap"
